               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.018172,             0.01224,           0.0018894,             0.88636,             0.83308,               0.902,             0.73676,            0.018073,               0.014,           0.0076052,            0.004588,            0.004588,            0.004588
                  84,            0.018289,            0.011981,           0.0016392,             0.86177,             0.84308,             0.90032,             0.73293,            0.018493,            0.014162,            0.007619,            0.004522,            0.004522,            0.004522
                  85,            0.018894,            0.012641,           0.0017976,               0.878,             0.83208,              0.8882,             0.72435,            0.017957,            0.014654,           0.0074393,            0.004456,            0.004456,            0.004456
                  86,            0.018315,            0.012451,           0.0017925,               0.863,             0.86834,             0.89123,             0.71999,            0.018515,             0.01434,           0.0081142,             0.00439,             0.00439,             0.00439
                  87,            0.018615,            0.012566,           0.0016744,             0.84676,             0.88344,             0.90757,             0.74905,            0.017548,             0.01354,           0.0069767,            0.004324,            0.004324,            0.004324
                  88,             0.01829,            0.012639,           0.0016613,             0.87508,             0.86521,             0.91287,             0.74865,            0.017679,            0.013577,           0.0065712,            0.004258,            0.004258,            0.004258
                  89,            0.018219,            0.012304,            0.001642,             0.87849,             0.83098,             0.89577,             0.72946,            0.018066,            0.014569,           0.0077482,            0.004192,            0.004192,            0.004192
                  90,            0.018192,            0.012336,           0.0014292,             0.89332,             0.82953,             0.89677,             0.73391,            0.017742,            0.013695,           0.0074979,            0.004126,            0.004126,            0.004126
                  91,            0.017606,            0.011661,           0.0013812,             0.87399,             0.82739,             0.89834,              0.7256,            0.017874,            0.013854,           0.0085655,             0.00406,             0.00406,             0.00406
                  92,            0.017299,            0.011796,           0.0013282,             0.88198,             0.83055,             0.89656,             0.73187,            0.017632,            0.014097,           0.0073069,            0.003994,            0.003994,            0.003994
                  93,            0.017457,            0.011625,           0.0016958,             0.84571,             0.84653,             0.89904,             0.73342,            0.018047,            0.014272,            0.007533,            0.003928,            0.003928,            0.003928
                  94,            0.017381,            0.011794,           0.0015247,             0.85361,             0.84234,              0.8982,             0.72927,              0.0181,            0.014346,           0.0083061,            0.003862,            0.003862,            0.003862
                  95,             0.01669,            0.011113,           0.0013333,             0.84034,             0.86897,             0.89616,             0.73577,            0.017599,            0.013966,           0.0079555,            0.003796,            0.003796,            0.003796
                  96,            0.017641,            0.011889,           0.0019582,             0.84066,             0.82735,             0.87009,             0.71416,            0.017811,            0.014332,           0.0091474,             0.00373,             0.00373,             0.00373
                  97,             0.01659,            0.011459,           0.0018406,             0.84338,             0.85641,              0.8962,             0.73922,            0.017776,             0.01389,           0.0075579,            0.003664,            0.003664,            0.003664
                  98,            0.017074,            0.011685,           0.0018122,             0.83049,             0.84073,             0.88992,             0.72411,            0.017905,            0.014264,           0.0098419,            0.003598,            0.003598,            0.003598
                  99,            0.017254,            0.012066,           0.0016731,              0.8373,             0.87951,             0.89708,             0.73262,            0.017858,            0.014447,           0.0078248,            0.003532,            0.003532,            0.003532
                 100,            0.016596,            0.011129,           0.0016001,              0.8426,             0.86495,             0.89022,             0.73261,            0.017679,            0.014902,            0.009035,            0.003466,            0.003466,            0.003466
                 101,            0.016233,            0.011392,           0.0013788,             0.87263,             0.83257,             0.89705,             0.73677,            0.017812,            0.014528,           0.0089007,              0.0034,              0.0034,              0.0034
                 102,            0.016185,            0.011318,           0.0013551,             0.85379,             0.85228,             0.89643,              0.7319,            0.017883,            0.014332,           0.0093015,            0.003334,            0.003334,            0.003334
                 103,            0.016728,            0.011364,           0.0013991,             0.87315,             0.82431,              0.8895,             0.73274,            0.017962,            0.014413,           0.0088571,            0.003268,            0.003268,            0.003268
                 104,            0.016422,            0.011174,           0.0013093,             0.85119,             0.85094,             0.88459,             0.72689,            0.017983,            0.014299,           0.0091892,            0.003202,            0.003202,            0.003202
                 105,            0.016111,            0.011157,           0.0013144,             0.83968,             0.85687,             0.88262,             0.72189,            0.017909,            0.014511,           0.0096011,            0.003136,            0.003136,            0.003136
                 106,            0.016095,            0.011662,           0.0014352,             0.85713,             0.83876,             0.89567,             0.73515,            0.017617,            0.014169,           0.0077743,             0.00307,             0.00307,             0.00307
                 107,            0.015722,            0.010496,           0.0016564,             0.87647,             0.81739,              0.8939,             0.73487,            0.017603,            0.014204,           0.0081118,            0.003004,            0.003004,            0.003004
                 108,            0.015685,            0.010999,           0.0013395,             0.83337,             0.86767,             0.89039,             0.73587,            0.017467,            0.014641,           0.0082631,            0.002938,            0.002938,            0.002938
                 109,            0.016008,            0.010974,           0.0014935,             0.82411,             0.85812,             0.88458,             0.72921,            0.017802,            0.014607,           0.0088876,            0.002872,            0.002872,            0.002872
                 110,            0.015029,            0.010023,           0.0012707,              0.8851,             0.84101,             0.88763,             0.72945,            0.017839,            0.014447,            0.008624,            0.002806,            0.002806,            0.002806
                 111,            0.015427,            0.010862,           0.0012995,             0.87651,             0.83642,             0.89137,             0.73373,            0.017882,            0.014583,           0.0080546,             0.00274,             0.00274,             0.00274
                 112,            0.015631,            0.010786,            0.001362,             0.84958,             0.86235,             0.89734,             0.73252,            0.017921,            0.014478,           0.0082504,            0.002674,            0.002674,            0.002674
                 113,             0.01536,            0.011043,           0.0012264,             0.87695,             0.85167,             0.91012,             0.74424,            0.017748,            0.014207,           0.0076277,            0.002608,            0.002608,            0.002608
